subject_id,subject_name,subject_fullname,main_field,sub_field,leaf_subject,depth,node_type,taxonomy_path,source
46,Davranış Bilimleri,Sosyal > Sosyal > Davranış Bilimleri,Sosyal,Sosyal,Davranış Bilimleri,3,LEAF_SUBJECT,Sosyal > Sosyal > Davranış Bilimleri,ARTICLE_SUBJECT_DATA
47,Denizcilik,Fen > Mühendislik > Denizcilik,Fen,Mühendislik,Denizcilik,3,LEAF_SUBJECT,Fen > Mühendislik > Denizcilik,ARTICLE_SUBJECT_DATA
48,Deniz ve Tatlı Su Biyolojisi,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,Fen,Temel Bilimler,Deniz ve Tatlı Su Biyolojisi,3,LEAF_SUBJECT,Fen > Temel Bilimler > Deniz ve Tatlı Su Biyolojisi,ARTICLE_SUBJECT_DATA
49,Dermatoloji,Fen > Tıp > Dermatoloji,Fen,Tıp,Dermatoloji,3,LEAF_SUBJECT,Fen > Tıp > Dermatoloji,ARTICLE_SUBJECT_DATA
50,Dil ve Dil Bilim,Sosyal > Sosyal > Dil ve Dil Bilim,Sosyal,Sosyal,Dil ve Dil Bilim,3,LEAF_SUBJECT,Sosyal > Sosyal > Dil ve Dil Bilim,ARTICLE_SUBJECT_DATA
51,Din Bilimi,Sosyal > Sosyal > Din Bilimi,Sosyal,Sosyal,Din Bilimi,3,LEAF_SUBJECT,Sosyal > Sosyal > Din Bilimi,ARTICLE_SUBJECT_DATA
52,Diş Hekimliği,Fen > Diş Hekimliği > Diş Hekimliği,Fen,Diş Hekimliği,Diş Hekimliği,3,LEAF_SUBJECT,Fen > Diş Hekimliği > Diş Hekimliği,ARTICLE_SUBJECT_DATA
53,Edebi Teori ve Eleştiri,Sosyal > Sosyal > Edebi Teori ve Eleştiri,Sosyal,Sosyal,Edebi Teori ve Eleştiri,3,LEAF_SUBJECT,Sosyal > Sosyal > Edebi Teori ve Eleştiri,ARTICLE_SUBJECT_DATA
54,Edebiyat,Sosyal > Sosyal > Edebiyat,Sosyal,Sosyal,Edebiyat,3,LEAF_SUBJECT,Sosyal > Sosyal > Edebiyat,ARTICLE_SUBJECT_DATA
55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları",3,LEAF_SUBJECT,"Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",ARTICLE_SUBJECT_DATA
56,"Eğitim, Özel","Sosyal > Sosyal > Eğitim, Özel",Sosyal,Sosyal,"Eğitim, Özel",3,LEAF_SUBJECT,"Sosyal > Sosyal > Eğitim, Özel",ARTICLE_SUBJECT_DATA
57,Ekoloji,Fen > Temel Bilimler > Ekoloji,Fen,Temel Bilimler,Ekoloji,3,LEAF_SUBJECT,Fen > Temel Bilimler > Ekoloji,ARTICLE_SUBJECT_DATA
58,Endokrinoloji ve Metabolizma,Fen > Tıp > Endokrinoloji ve Metabolizma,Fen,Tıp,Endokrinoloji ve Metabolizma,3,LEAF_SUBJECT,Fen > Tıp > Endokrinoloji ve Metabolizma,ARTICLE_SUBJECT_DATA
59,Endüstri Mühendisliği,Fen > Mühendislik > Endüstri Mühendisliği,Fen,Mühendislik,Endüstri Mühendisliği,3,LEAF_SUBJECT,Fen > Mühendislik > Endüstri Mühendisliği,ARTICLE_SUBJECT_DATA
