subject_id,subject_name,subject_fullname
126,"Malzeme Bilimleri, Kompozitler","Fen > Mühendislik > Malzeme Bilimleri, Kompozitler"
127,"Malzeme Bilimleri, Özellik ve Test","Fen > Mühendislik > Malzeme Bilimleri, Özellik ve Test"
128,"Malzeme Bilimleri, Seramik","Fen > Mühendislik > Malzeme Bilimleri, Seramik"
129,"Malzeme Bilimleri, Tekstil","Fen > Mühendislik > Malzeme Bilimleri, Tekstil"
130,Mantar Bilimi,Fen > Temel Bilimler > Mantar Bilimi
131,Mantık,Sosyal > Sosyal > Mantık
132,Matematik,Fen > Temel Bilimler > Matematik
133,Metalürji Mühendisliği,Fen > Mühendislik > Metalürji Mühendisliği
134,Meteoroloji ve Atmosferik Bilimler,Fen > Mühendislik > Meteoroloji ve Atmosferik Bilimler
135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji
136,Mikroskopi,Fen > Temel Bilimler > Mikroskopi
137,Mimarlık,Fen > Mühendislik > Mimarlık
138,Mineraloji,Fen > Temel Bilimler > Mineraloji
139,"Mühendislik, Biyotıp","Fen > Mühendislik > Mühendislik, Biyotıp"
140,"Mühendislik, Deniz","Fen > Mühendislik > Mühendislik, Deniz"
141,"Mühendislik, Elektrik ve Elektronik","Fen > Mühendislik > Mühendislik, Elektrik ve Elektronik"
142,"Mühendislik, Hava ve Uzay","Fen > Mühendislik > Mühendislik, Hava ve Uzay"
143,"Mühendislik, Jeoloji","Fen > Mühendislik > Mühendislik, Jeoloji"
144,"Mühendislik, Kimya","Fen > Mühendislik > Mühendislik, Kimya"
145,"Mühendislik, Makine","Fen > Mühendislik > Mühendislik, Makine"
146,"Mühendislik, Petrol","Fen > Mühendislik > Mühendislik, Petrol"
147,Müzik,Sosyal > Sosyal > Müzik
148,Nanobilim ve Nanoteknoloji,Fen > Mühendislik > Nanobilim ve Nanoteknoloji
149,Nörolojik Bilimler,Fen > Tıp > Nörolojik Bilimler
150,Nüfus İstatistikleri Bilimi,Sosyal > Sosyal > Nüfus İstatistikleri Bilimi
151,Nükleer Bilim ve Teknolojisi,Fen > Mühendislik > Nükleer Bilim ve Teknolojisi
152,Odyoloji ve Konuşma-Dil Patolojisi,Fen > Tıp > Odyoloji ve Konuşma-Dil Patolojisi
153,Onkoloji,Fen > Tıp > Onkoloji
154,Optik,Fen > Temel Bilimler > Optik
155,Orman Mühendisliği,Fen > Mühendislik > Orman Mühendisliği
156,Ortaçağ ve Rönesans Çalışmaları,Sosyal > Sosyal > Ortaçağ ve Rönesans Çalışmaları
157,Ortopedi,Fen > Tıp > Ortopedi
158,Oşinografi,Fen > Temel Bilimler > Oşinografi
159,"Otelcilik, Konaklama, Spor ve Turizm","Sosyal > Sosyal > Otelcilik, Konaklama, Spor ve Turizm"
160,Paleontoloji,Fen > Temel Bilimler > Paleontoloji
161,Parazitoloji,Fen > Temel Bilimler > Parazitoloji
162,Patoloji,Fen > Tıp > Patoloji
163,Pediatri,Fen > Tıp > Pediatri
164,Periferik Damar Hastalıkları,Fen > Tıp > Periferik Damar Hastalıkları
165,Polimer Bilimi,Fen > Mühendislik > Polimer Bilimi
166,Psikiyatri,Fen > Tıp > Psikiyatri
167,Psikoloji,Sosyal > Sosyal > Psikoloji
168,"Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme","Fen > Tıp > Radyoloji, Nükleer Tıp, Tıbbi Görüntüleme"
169,Rehabilitasyon,Fen > Tıp > Rehabilitasyon
170,Robotik,Fen > Mühendislik > Robotik
171,Romatoloji,Fen > Tıp > Romatoloji
172,Sağlık Bilimleri ve Hizmetleri,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri
173,Sağlık Politikaları ve Hizmetleri,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri
174,Sanat,Sosyal > Sosyal > Sanat
175,Savunma Bilimleri,Fen > Mühendislik > Savunma Bilimleri
176,Siyasi Bilimler,Sosyal > Sosyal > Siyasi Bilimler
177,Solunum Sistemi,Fen > Tıp > Solunum Sistemi
178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma
179,Sosyoloji,Sosyal > Sosyal > Sosyoloji
180,Spektroskopi,Fen > Temel Bilimler > Spektroskopi
181,Spor Bilimleri,Fen > Tıp > Spor Bilimleri
182,Su Kaynakları,Fen > Temel Bilimler > Su Kaynakları
183,Tamamlayıcı ve Entegre Tıp,Fen > Tıp > Tamamlayıcı ve Entegre Tıp
184,Tarımsal Ekonomi ve Politika,Fen > Ziraat > Tarımsal Ekonomi ve Politika
185,Tarih,Sosyal > Sosyal > Tarih
187,Taşınım Bilimi ve Teknolojisi,Fen > Mühendislik > Taşınım Bilimi ve Teknolojisi
