Model,Algorithm,K,Silhouette,Weighted_Purity,Mean_Cluster_Purity,Singleton_Clusters,Singleton_Ratio,Smallest_Cluster,Largest_Cluster,Silhouette_Normalized,Purity_Normalized,Singleton_Normalized,Balance_Score
E5,Agglomerative,400,0.0613,0.6651,0.8621,191,0.4775,1,41,0.7410817031070195,0.9308411214953272,1.0,0.4877450716797694
BGE-M3,K-Means,100,0.0208,0.4204,0.4435,0,0.0,3,41,0.27502876869965476,0.3591121495327103,0.0,0.2620647053762516
BGE-M3,K-Means,150,0.0165,0.4562,0.5133,0,0.0,2,27,0.22554660529344073,0.44275700934579443,0.0,0.28904248626092943
BGE-M3,K-Means,175,0.0151,0.4976,0.5746,5,0.0286,1,27,0.2094361334867664,0.5394859813084112,0.05989528795811519,0.32059477310861245
BGE-M3,K-Means,195,0.0177,0.501,0.5672,3,0.0154,1,25,0.239355581127733,0.5474299065420561,0.032251308900523565,0.33907136582924324
BGE-M3,K-Means,200,0.0183,0.4962,0.5653,4,0.02,1,24,0.24626006904487915,0.536214953271028,0.041884816753926704,0.3336085339981924
BGE-M3,K-Means,225,0.0153,0.5217,0.6222,15,0.0667,1,22,0.21173762945914842,0.5957943925233646,0.13968586387434553,0.33348131232455774
BGE-M3,K-Means,250,0.0228,0.5486,0.6304,7,0.028,1,21,0.29804372842347526,0.6586448598130841,0.05863874345549738,0.40700779974248513
BGE-M3,K-Means,300,0.0168,0.5796,0.6766,35,0.1167,1,17,0.22899884925201378,0.7310747663551402,0.24439790575916231,0.3853574568013418
BGE-M3,K-Means,400,0.024,0.6347,0.7385,74,0.185,1,16,0.3118527042577675,0.8598130841121496,0.387434554973822,0.44597544233864067
BGE-M3,Agglomerative,100,0.0075,0.3356,0.6829,21,0.21,1,350,0.12197928653624855,0.160981308411215,0.4397905759162304,0.029126324983235974
BGE-M3,Agglomerative,150,0.0231,0.4204,0.7148,31,0.2067,1,265,0.3014959723820483,0.3591121495327103,0.43287958115183245,0.18342895025060318
BGE-M3,Agglomerative,175,0.03,0.4562,0.7133,35,0.2,1,222,0.38089758342922897,0.44275700934579443,0.41884816753926707,0.2518781461938125
BGE-M3,Agglomerative,195,0.0295,0.4735,0.7207,42,0.2154,1,222,0.37514384349827384,0.4831775700934579,0.4510994764397906,0.263912042808253
BGE-M3,Agglomerative,200,0.0292,0.4762,0.7261,46,0.23,1,222,0.3716915995397008,0.48948598130841126,0.48167539267015713,0.2599153919820844
BGE-M3,Agglomerative,225,0.038,0.5162,0.7281,48,0.2133,1,186,0.4729574223245109,0.5829439252336449,0.44670157068062827,0.3440188751780501
BGE-M3,Agglomerative,250,0.0402,0.5293,0.7327,56,0.224,1,186,0.49827387802071343,0.6135514018691589,0.46910994764397906,0.3624358748119977
BGE-M3,Agglomerative,300,0.0425,0.5589,0.7479,80,0.2667,1,177,0.524741081703107,0.6827102803738317,0.5585340314136126,0.38707065841512545
BGE-M3,Agglomerative,400,0.0575,0.6258,0.7825,125,0.3125,1,58,0.6973532796317606,0.8390186915887852,0.6544502617801048,0.4978252773278998
Qwen3,K-Means,100,0.046,0.4859,0.5116,0,0.0,3,31,0.5650172612197928,0.5121495327102804,0.0,0.4255799447210781
Qwen3,K-Means,150,0.0455,0.5121,0.5395,2,0.0133,1,22,0.5592635212888377,0.5733644859813084,0.027853403141361255,0.44889061874903324
Qwen3,K-Means,175,0.0404,0.5458,0.5971,1,0.0057,1,32,0.5005753739930955,0.6521028037383176,0.011937172774869111,0.47383657951211366
Qwen3,K-Means,195,0.0385,0.5617,0.6062,2,0.0103,1,26,0.478711162255466,0.6892523364485981,0.021570680628272252,0.48392538077528435
Qwen3,K-Means,200,0.0432,0.5727,0.6134,0,0.0,2,28,0.5327963176064442,0.7149532710280374,0.0,0.5173155307959519
Qwen3,K-Means,225,0.0445,0.5879,0.6479,8,0.0356,1,22,0.5477560414269275,0.7504672897196262,0.07455497382198953,0.5246494625234934
Qwen3,K-Means,250,0.0497,0.6092,0.6661,7,0.028,1,22,0.6075949367088607,0.8002336448598131,0.05863874345549738,0.5706675547514652
Qwen3,K-Means,300,0.0531,0.6561,0.7271,27,0.09,1,24,0.6467203682393555,0.9098130841121496,0.18848167539267016,0.6112263174493473
Qwen3,K-Means,400,0.0523,0.6947,0.7707,76,0.19,1,20,0.6375143843498273,1.0,0.3979057591623037,0.6116731634724875
Qwen3,Agglomerative,100,0.0316,0.3921,0.6422,15,0.15,1,205,0.3993095512082854,0.2929906542056075,0.31413612565445026,0.20346096733439928
Qwen3,Agglomerative,150,0.0468,0.4748,0.6774,25,0.1667,1,193,0.574223245109321,0.48621495327102804,0.34910994764397907,0.3455524606395145
Qwen3,Agglomerative,175,0.0559,0.5245,0.7036,32,0.1829,1,101,0.6789413118527042,0.6023364485981307,0.38303664921465974,0.42824328801194467
Qwen3,Agglomerative,195,0.0594,0.5493,0.7185,40,0.2051,1,57,0.7192174913693901,0.6602803738317757,0.42952879581151837,0.4599996751644012
Qwen3,Agglomerative,200,0.0611,0.5527,0.7223,40,0.2,1,57,0.7387802071346375,0.6682242990654205,0.41884816753926707,0.471976578165248
Qwen3,Agglomerative,225,0.0685,0.5817,0.7429,48,0.2133,1,40,0.8239355581127734,0.735981308411215,0.44670157068062827,0.5258310075033139
Qwen3,Agglomerative,250,0.0725,0.6037,0.7508,52,0.208,1,40,0.8699654775604142,0.7873831775700936,0.4356020942408377,0.5675608132050034
Qwen3,Agglomerative,300,0.0815,0.6465,0.7746,71,0.2367,1,35,0.9735327963176065,0.8873831775700934,0.4957068062827225,0.6366100664237841
Qwen3,Agglomerative,400,0.0838,0.6933,0.8201,132,0.33,1,35,1.0,0.9967289719626169,0.6910994764397906,0.6601445906933503
