article_id,subject_id,subject_name,subject_fullname,root_name,auto_label,main_field,sub_field,leaf_subject
102,23,Bahçe Bitkileri,Fen > Ziraat > Bahçe Bitkileri,Fen,True,Fen,Ziraat,Bahçe Bitkileri
103,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
104,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
105,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
106,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
106,174,Sanat,Sosyal > Sosyal > Sanat,Sosyal,True,Sosyal,Sosyal,Sanat
107,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
107,167,Psikoloji,Sosyal > Sosyal > Psikoloji,Sosyal,True,Sosyal,Sosyal,Psikoloji
108,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
109,50,Dil ve Dil Bilim,Sosyal > Sosyal > Dil ve Dil Bilim,Sosyal,True,Sosyal,Sosyal,Dil ve Dil Bilim
109,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
110,32,"Bilgisayar Bilimleri, Yapay Zeka","Fen > Mühendislik > Bilgisayar Bilimleri, Yapay Zeka",Fen,True,Fen,Mühendislik,"Bilgisayar Bilimleri, Yapay Zeka"
110,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
111,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
113,136,Mikroskopi,Fen > Temel Bilimler > Mikroskopi,Fen,True,Fen,Temel Bilimler,Mikroskopi
113,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
116,81,Genetik ve Kalıtım,Fen > Temel Bilimler > Genetik ve Kalıtım,Fen,True,Fen,Temel Bilimler,Genetik ve Kalıtım
116,136,Mikroskopi,Fen > Temel Bilimler > Mikroskopi,Fen,True,Fen,Temel Bilimler,Mikroskopi
116,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
117,148,Nanobilim ve Nanoteknoloji,Fen > Mühendislik > Nanobilim ve Nanoteknoloji,Fen,True,Fen,Mühendislik,Nanobilim ve Nanoteknoloji
117,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
118,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
119,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,True,Fen,Tıp,Biyokimya ve Moleküler Biyoloji
119,35,Bitki Bilimleri,Fen > Ziraat > Bitki Bilimleri,Fen,True,Fen,Ziraat,Bitki Bilimleri
120,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
120,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
121,116,Kriminoloji ve Ceza Bilimi,Sosyal > Sosyal > Kriminoloji ve Ceza Bilimi,Sosyal,True,Sosyal,Sosyal,Kriminoloji ve Ceza Bilimi
121,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
122,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
122,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
123,56,"Eğitim, Özel","Sosyal > Sosyal > Eğitim, Özel",Sosyal,True,Sosyal,Sosyal,"Eğitim, Özel"
123,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
123,179,Sosyoloji,Sosyal > Sosyal > Sosyoloji,Sosyal,True,Sosyal,Sosyal,Sosyoloji
124,82,Geriatri ve Gerontoloji,Fen > Tıp > Geriatri ve Gerontoloji,Fen,True,Fen,Tıp,Geriatri ve Gerontoloji
124,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
125,105,Kadın Araştırmaları,Sosyal > Sosyal > Kadın Araştırmaları,Sosyal,True,Sosyal,Sosyal,Kadın Araştırmaları
125,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
126,108,Kamu Yönetimi,Sosyal > Sosyal > Kamu Yönetimi,Sosyal,True,Sosyal,Sosyal,Kamu Yönetimi
126,173,Sağlık Politikaları ve Hizmetleri,Sosyal > Sosyal > Sağlık Politikaları ve Hizmetleri,Sosyal,True,Sosyal,Sosyal,Sağlık Politikaları ve Hizmetleri
126,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
327,58,Endokrinoloji ve Metabolizma,Fen > Tıp > Endokrinoloji ve Metabolizma,Fen,True,Fen,Tıp,Endokrinoloji ve Metabolizma
327,61,Enfeksiyon Hastalıkları,Fen > Tıp > Enfeksiyon Hastalıkları,Fen,True,Fen,Tıp,Enfeksiyon Hastalıkları
327,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
328,77,Fizyoloji,Fen > Tıp > Fizyoloji,Fen,True,Fen,Tıp,Fizyoloji
328,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
329,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
329,172,Sağlık Bilimleri ve Hizmetleri,Fen > Tıp > Sağlık Bilimleri ve Hizmetleri,Fen,True,Fen,Tıp,Sağlık Bilimleri ve Hizmetleri
330,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
330,89,Hemşirelik,Sosyal > Sosyal > Hemşirelik,Sosyal,True,Sosyal,Sosyal,Hemşirelik
331,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
331,167,Psikoloji,Sosyal > Sosyal > Psikoloji,Sosyal,True,Sosyal,Sosyal,Psikoloji
332,79,Gastroenteroloji ve Hepatoloji,Fen > Tıp > Gastroenteroloji ve Hepatoloji,Fen,True,Fen,Tıp,Gastroenteroloji ve Hepatoloji
332,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
333,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
334,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
335,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
336,80,Genel ve Dahili Tıp,Fen > Tıp > Genel ve Dahili Tıp,Fen,True,Fen,Tıp,Genel ve Dahili Tıp
